t cv_0(t) h(t)
1.490000100000000000e+07 3.548614978790283203e-01 5.891414771344585244e-01
1.495000100000000000e+07 3.671162426471710205e-01 5.533296235458663448e-01
1.500000100000000000e+07 3.662873208522796631e-01 5.370839280487795797e-01
1.505000100000000000e+07 3.647805154323576771e-01 5.222498571392022448e-01
1.510000100000000000e+07 3.855738341808319092e-01 6.023050767462125865e-01
1.515000100000000000e+07 3.950814008712768555e-01 7.228491294255027233e-01
1.520000100000000000e+07 3.796956539154052734e-01 5.340164273713071674e-01
1.525000100000000000e+07 4.019981920719145618e-01 8.241738499693997966e-01
1.530000100000000000e+07 3.815362751483916681e-01 5.249647615657553335e-01
1.535000100000000000e+07 3.894477486610412598e-01 5.757247556979632197e-01
1.540000100000000000e+07 3.793321847915649414e-01 4.932931438726568252e-01
1.545000100000000000e+07 3.709944486618041437e-01 4.803326347071180669e-01
1.550000100000000000e+07 3.688319027423858643e-01 4.717305507006021026e-01
1.555000100000000000e+07 3.607500493526458185e-01 4.917074718780169440e-01
1.560000100000000000e+07 3.460029959678649347e-01 6.121934954387360239e-01
1.565000100000000000e+07 3.314639031887054443e-01 7.431555992624400142e-01
1.570000100000000000e+07 3.229766786098480225e-01 7.867811337263891369e-01
1.575000100000000000e+07 3.310974240303039551e-01 6.967150118295529770e-01
1.580000100000000000e+07 3.298778533935546875e-01 6.795589763984265508e-01
1.585000100000000000e+07 3.429965376853942871e-01 5.885415462017852262e-01
1.590000100000000000e+07 3.506187796592712402e-01 5.267580455753818613e-01
1.595000100000000000e+07 3.308877348899841309e-01 6.373190798861895212e-01
1.600000100000000000e+07 3.158633112907409668e-01 7.915331387901112237e-01
1.605000100000000000e+07 3.125209510326384943e-01 8.039328165802700488e-01
1.610000100000000000e+07 3.129291236400604248e-01 7.654776102690985518e-01
1.615000100000000000e+07 2.995642721652984619e-01 8.940171203958137136e-01
1.620000100000000000e+07 2.974285483360290527e-01 8.683598686543275713e-01
1.625000100000000000e+07 2.901862859725952148e-01 8.756141922133211519e-01
1.630000100000000000e+07 3.264509439468383789e-01 6.177710376527357772e-01
1.635000100000000000e+07 3.423320651054382324e-01 5.469695904996896285e-01
1.640000100000000000e+07 3.509757816791534424e-01 4.971620185102884615e-01
1.645000100000000000e+07 3.638072609901428223e-01 4.473631965106911745e-01
1.650000100000000000e+07 3.708119392395020086e-01 4.376248466017708671e-01
1.655000100000000000e+07 3.592706620693206787e-01 4.411641381643604531e-01
1.660000100000000000e+07 3.666815757751464844e-01 4.185929697054963095e-01
1.665000100000000000e+07 3.491528332233428955e-01 4.778508624406737626e-01
1.670000100000000000e+07 3.303730189800262451e-01 5.697459569628617881e-01
1.675000100000000000e+07 3.848475217819213867e-01 4.877040106731335145e-01
1.680000100000000000e+07 4.038113355636596680e-01 8.057617707928881323e-01
1.685000100000000000e+07 4.052000939846039373e-01 7.979623433643516783e-01
1.690000100000000000e+07 4.038938581943511963e-01 7.422901164832168552e-01
1.695000100000000000e+07 3.870557844638823908e-01 4.847539730367388944e-01
1.700000100000000000e+07 3.788170516490935724e-01 4.241288961533196678e-01
1.705000100000000000e+07 3.909997642040252686e-01 5.076413815203164592e-01
1.710000100000000000e+07 4.017972946166992188e-01 6.621079359915151841e-01
1.715000100000000000e+07 3.712840080261230469e-01 3.983666791971957055e-01
1.720000100000000000e+07 3.961304128170012873e-01 5.485423779036999736e-01
1.725000100000000000e+07 3.496401607990264893e-01 4.598842409769702266e-01
1.730000100000000000e+07 3.752813041210175116e-01 3.925254431558717338e-01
1.735000100000000000e+07 3.494452238082885742e-01 4.496172207203528171e-01
1.740000100000000000e+07 3.940078020095824640e-01 5.031638453167708303e-01
1.745000100000000000e+07 3.764221072196959894e-01 3.839080158439558965e-01
1.750000100000000000e+07 3.981361687183380127e-01 5.470671013287136120e-01
1.755000100000000000e+07 3.774684369564055841e-01 3.766515650111684765e-01
1.760000100000000000e+07 3.947363793849945068e-01 4.818509007567404190e-01
1.765000100000000000e+07 3.726454675197600763e-01 3.654058796532932973e-01
1.770000100000000000e+07 3.769433796405792236e-01 3.602252505696256768e-01
1.775000100000000000e+07 4.015087783336639959e-01 5.760975929773275439e-01
1.780000100000000000e+07 3.901950120925903320e-01 4.109637287534068095e-01
1.785000100000000000e+07 3.525206148624420166e-01 4.211171562301604943e-01
1.790000100000000000e+07 3.686017990112304688e-01 3.547531440870060893e-01
1.795000100000000000e+07 3.595579862594604492e-01 3.760198904873977011e-01
1.800000100000000000e+07 3.292597830295562744e-01 5.542232175202556066e-01
1.805000100000000000e+07 3.180814683437347412e-01 6.338649041017839769e-01
1.810000100000000000e+07 3.469156324863433838e-01 4.366183569193852754e-01
1.815000100000000000e+07 3.408271074295043945e-01 4.656334578756329834e-01
1.820000100000000000e+07 3.383753597736358643e-01 4.689805773911477349e-01
1.825000100000000000e+07 3.486303687095642090e-01 4.028737289116735010e-01
1.830000100000000000e+07 3.134122192859649658e-01 6.630201501873649317e-01
1.835000100000000000e+07 3.167796432971954346e-01 6.040026123237604017e-01
1.840000100000000000e+07 3.067927360534667969e-01 6.998183884339809202e-01
1.845000100000000000e+07 2.973771393299102783e-01 7.672980755044369605e-01
1.850000100000000000e+07 2.973255217075347900e-01 7.373438110732063455e-01
1.855000100000000000e+07 3.063905239105224609e-01 6.441453289737190113e-01
1.860000100000000000e+07 2.936457693576812744e-01 7.294953660964021980e-01
1.865000100000000000e+07 2.845942676067351740e-01 8.189559534860854084e-01
1.870000100000000000e+07 2.714990377426147461e-01 9.238265387120520034e-01
1.875000100000000000e+07 2.880815565586090088e-01 7.299839234303958646e-01
1.880000100000000000e+07 3.113962709903717041e-01 5.811153351263694811e-01
1.885000100000000000e+07 2.693300843238830566e-01 8.829485388849986904e-01
1.890000100000000000e+07 3.198392987251281738e-01 5.252485346725057624e-01
1.895000100000000000e+07 3.373698592185974121e-01 4.519693500462523827e-01
1.900000100000000000e+07 3.178204596042633057e-01 5.173591726029179716e-01
1.905000100000000000e+07 3.473760485649108887e-01 3.939521006215082610e-01
1.910000100000000000e+07 3.163093626499176025e-01 5.107541354829641111e-01
1.915000100000000000e+07 3.397833704948424738e-01 4.212006212333248012e-01
1.920000100000000000e+07 3.597935438156127930e-01 3.523090408924968164e-01
1.925000100000000000e+07 3.578441143035888672e-01 3.491972598428096375e-01
1.930000100000000000e+07 3.334246277809143066e-01 4.400653848276170899e-01
1.935000100000000000e+07 3.595474660396575928e-01 3.397663012747664246e-01
1.940000100000000000e+07 3.468860685825347900e-01 3.678034743253059125e-01
1.945000100000000000e+07 3.585629761219024658e-01 3.319765998107164773e-01
1.950000100000000000e+07 3.637082576751708984e-01 3.229951657520554464e-01
